,score
Unique@0.25IoU,0.7291455864906311
Unique@0.5IoU,0.6633265018463135
Multiple@0.25IoU,0.39256995916366577
Multiple@0.5IoU,0.31254637241363525
Overall@0.25IoU,0.4939853549003601
Overall@0.5IoU,0.41723325848579407
B@0.5IoU,0.06982519883693199
R@0.5IoU,0.21153821142758691
M@0.5IoU,0.20026989274473023
C@0.5IoU,0.2848832659180222
